demand_id,status,segment,facility_name,owner_operator,location,scale,project_stage,est_buy_window,est_completion_date,signal_source,source_url,first_seen,last_reviewed,est_value,next_action,notes
demand-radar-pilot-a-pip-reflag-dallas-fw-hotel-choctaw-nation-to-invest-140-million-to-expand-upgrade-pocola-casino-ar,no-fit,hotel,"Choctaw Nation to invest $140 million to expand, upgrade Pocola casino",,AR,,renovation,,,Demand Radar: Pilot A PIP-Reflag Dallas-FW,https://talkbusiness.net/2026/07/choctaw-nation-to-invest-140-million-to-expand-upgrade-pocola-casino/,2026-07-02,2026-07-02,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; TRIAGE bucket=reject: casino expansion (not a hotel PIP), out-of-region (AR). Pilot A Dallas-FW feed caught a neighboring-state item. end-state=dead."
demand-radar-pilot-a-pip-reflag-dallas-fw-hotel-third-time-may-be-the-charm-for-historic-belmont-b-hotel-b-resurrection-kansas-city-business-journal-ks,no-fit,hotel,Third time may be the charm for historic Belmont <b>Hotel</b> resurrection - Kansas City Business Journal,,KS,,renovation,,,Demand Radar: Pilot A PIP-Reflag Dallas-FW,https://www.bizjournals.com/kansascity/news/2026/06/30/belmont-hotel-linwood-equity-historic-conversion.html,2026-07-02,2026-07-02,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: pip, reflag -> renovation; out-of-region: KS; TRIAGE bucket=reject: single historic-hotel conversion, out-of-region (KS). end-state=dead."
demand-radar-pilot-b-independent-houston-hotel-alpine-house-completes-b-renovation-b-lodging-magazine,no-fit,hotel,Alpine House Completes <b>Renovation</b> - LODGING Magazine,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://lodgingmagazine.com/alpine-house-completes-renovation/,2026-07-14,2026-07-14,,,"facility (hotel): hotel; project trigger: renovation -> renovation; out-of-geography (Alpine House, not TX/six-state); dupe of same story on Texas feed"
demand-radar-pilot-b-independent-texas-hotel-alpine-house-completes-b-renovation-b-lodging-magazine-tx,no-fit,hotel,Alpine House Completes <b>Renovation</b> - LODGING Magazine,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://lodgingmagazine.com/alpine-house-completes-renovation/,2026-07-14,2026-07-14,,,"facility (hotel): hotel; project trigger: renovation -> renovation; out-of-geography (Alpine House, not TX despite feed label); renovation already COMPLETE - past buy window"
demand-radar-pilot-b-independent-texas-hotel-alpine-house-reimagined-the-intimate-20-room-hotel-returns-with-fresh-interiors-rooted-tx,no-fit,hotel,Alpine House Reimagined: The Intimate 20-Room Hotel Returns with Fresh Interiors Rooted ...,,TX,20 room,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.hospitalitynet.org/announcement/41014759/alpine-house-reimagined-the-intimate-20-room-hotel-returns-with-fresh-interiors-rooted-in-place-and-connection,2026-07-14,2026-07-14,,,facility (hotel): hotel; project trigger: renovation -> renovation; scale: 20 room; out-of-geography; dupe of Alpine House story (renovation complete)
demand-radar-pilot-b-independent-texas-hotel-manhattan-39-s-soho-neighborhood-prepares-for-broome-hotel-comeback-with-architectural-tx,no-fit,hotel,Manhattan&#39;s SoHo Neighborhood Prepares for Broome Hotel Comeback With Architectural ...,,TX,14 room,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.travelandtourworld.com/news/article/o9wpb2z8lavw/,2026-07-14,2026-07-14,,,"facility (hotel): hotel; project trigger: renovation -> renovation; scale: 14 room; out-of-geography (Manhattan NYC, feed mislabeled TX); 14-room boutique"
demand-radar-pilot-b-independent-texas-hotel-club-metr-polis-opens-in-madrid-b-boutique-hotel-b-news-tx,no-fit,hotel,Club Metrópolis opens in Madrid - <b>Boutique Hotel</b> News,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://boutiquehotelnews.com/news/hotel/club-metropolis-opens-in-madrid/,2026-07-14,2026-07-14,,,"facility (hotel): hotel; project trigger: renovation -> renovation; out-of-geography (Madrid, Spain - feed mislabeled TX); already open"
demand-radar-pilot-b-independent-texas-hotel-developer-asking-for-7-8m-in-tax-breaks-to-build-89-suite-marriott-hotel-in-auburn-tx,no-fit,hotel,Developer Asking for $7.8M in Tax Breaks To Build 89-Suite Marriott Hotel in Auburn,,TX,89 suite,,,,Demand Radar: Pilot B Independent Texas,https://www.hotel-online.com/news/developer-asking-for-78m-in-tax-breaks-to-build-89-suite-marriott-hotel-in-auburn,2026-07-14,2026-07-14,,,"facility (hotel): hotel, extended stay, marriott; facility named but no project trigger (construction/renovation/opening); out-of-geography (Auburn NY, feed mislabeled TX); branded Marriott new-build = channel route anyway; pre-construction, no near-term buy window"
demand-radar-pilot-b-independent-houston-hotel-v-capri-palm-springs-unveils-multi-million-hotel-b-renovation-b-lamag,no-fit,hotel,V Capri Palm Springs Unveils Multi-Million Hotel <b>Renovation</b> - LAmag,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://lamag.com/travel/v-capri-palm-springs-sbe-entertainment-group-announces-multi-million-dollar-transformation-with-new-sbe-entertainment-group-partnership/,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; no-fit: Palm Springs CA, out-of-region"
demand-radar-pilot-b-independent-houston-hotel-hotel-indigo-raleigh-to-reopen-in-october-after-reno,no-fit,hotel,Hotel Indigo Raleigh to reopen in October after reno,,,204 room,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.hotelmanagement.net/conversions/hotel-indigo-raleigh-open-october-after-redo-historic-building,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; scale: 204 room; no-fit: Raleigh NC, out-of-region; renovation nearly complete (Oct reopen), FF&E window passed"
demand-radar-pilot-b-independent-houston-hotel-residence-inn-by-marriott-boston-marlborough-massachusetts-completes-a-full-b-renovation-b-ma,no-fit,hotel,"Residence Inn by Marriott Boston Marlborough, Massachusetts Completes a Full <b>Renovation</b>",,MA,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.hotel-online.com/news/residence-inn-by-marriott-boston-marlborough-massachusetts-completes-a-full-renovation,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel, inn, extended stay, marriott, residence inn; project trigger: to open, set to open, renovation -> renovation; out-of-region: MA; no-fit: Marlborough MA, out-of-region; renovation COMPLETED, no buy-window"
demand-radar-pilot-b-independent-houston-hotel-hotel-indigo-raleigh-b-set-to-open-b-in-october-transforming-an-iconic-property-with-36,no-fit,hotel,"Hotel Indigo Raleigh <b>Set To Open</b> in October, Transforming an Iconic Property With $36 ...",,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.hotel-online.com/news/hotel-indigo-raleigh-set-to-open-in-october-transforming-an-iconic-property-with-36-million-renovation,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: to open, set to open, renovation -> renovation; no-fit: duplicate of Hotel Indigo Raleigh row; out-of-region NC, window passed"
demand-radar-pilot-b-independent-houston-hotel-there-39-s-a-b-boutique-hotel-b-coming-to-the-former-douglas-city-hall-aol,no-fit,hotel,There&#39;s a <b>boutique hotel</b> coming to the former Douglas City Hall - AOL,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.aol.com/news/theres-boutique-hotel-coming-former-173638031.html,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; no-fit: Douglas (AZ) city hall conversion, out-of-region, early-stage small boutique"
demand-radar-pilot-b-independent-houston-hotel-manazel-al-naqaa-partners-with-marriott-to-b-rebrand-b-shirvan-intlbm,no-fit,hotel,Manazel Al Naqaa Partners With Marriott to <b>Rebrand</b> Shirvan - INTLBM,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://intlbm.com/2026/07/15/manazel-al-naqaa-partners-with-marriott-to-rebrand-shirvan/,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel, marriott; project trigger: rebrand -> renovation; no-fit: international (Shirvan rebrand, Middle East), out of market"
demand-radar-pilot-b-independent-houston-hotel-omni-amelia-island-resort-completes-40-million-b-renovation-b-rus-tourism-news,no-fit,hotel,Omni Amelia Island Resort Completes $40 Million <b>Renovation</b> - Rus Tourism News,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.rustourismnews.com/2026/07/15/omni-amelia-island-resort-completes-40-million-renovation/,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel, resort, suites, extended stay; project trigger: renovation -> renovation; no-fit: Amelia Island FL, out-of-region; renovation COMPLETED, no buy-window"
demand-radar-pilot-b-independent-houston-hotel-the-shepherd-mayfair-is-b-set-to-open-b-on-1-september-2026,no-fit,hotel,The Shepherd Mayfair is <b>set to open</b> on 1 September 2026,,,,opening,2026-01,2026,Demand Radar: Pilot B Independent Houston,https://travellingforbusiness.co.uk/news/the-shepherd-mayfair-is-set-to-open-on-1-september-2026/,2026-07-16,2026-07-17,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hotel; project trigger: to open, opening, set to open -> opening; completion: 2026; no-fit: London UK (Mayfair), out of market"
demand-radar-pilot-b-independent-houston-hotel-alpine-house-reopens-after-extensive-b-renovation-b-travel-daily-news,no-fit,hotel,Alpine House reopens after extensive <b>renovation</b> - Travel Daily News,,,20 room,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.traveldailynews.com/hotels-lodging/alpine-house-reopens-after-extensive-renovation/,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; scale: 20 room; no-fit: Alpine House (Jackson WY / non-regional), 20 rooms, renovation already complete"
demand-radar-pilot-b-independent-houston-hotel-greenstar-hotels-elevates-sustainable-hospitality-with-canary-technologies,no-fit,hotel,GreenStar Hotels elevates sustainable hospitality with Canary Technologies,,,,opening,2026-01,2026,Demand Radar: Pilot B Independent Houston,https://boutiquehotelnews.com/features/greenstar-hotels-canary/,2026-07-16,2026-07-17,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hospitality; project trigger: to open, set to open -> opening; completion: 2026; no-fit: hotel-tech vendor PR (Canary Technologies), not a construction/renovation demand signal"
demand-radar-pilot-b-independent-houston-hotel-the-shepherd-mayfair-b-set-to-open-b-in-september-2026-b-boutique-hotel-b-news,no-fit,hotel,The Shepherd Mayfair <b>set to open</b> in September 2026 - <b>Boutique Hotel</b> News,,,,opening,2026-01,2026,Demand Radar: Pilot B Independent Houston,https://boutiquehotelnews.com/news/hotel/the-shepherd-mayfair-september/,2026-07-16,2026-07-17,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hotel; project trigger: to open, set to open -> opening; completion: 2026; no-fit: duplicate Shepherd Mayfair London row, out of market"
demand-radar-pilot-b-independent-houston-hotel-ch-teau-de-raymontpierre-the-castle-that-redefines-hospitality-ticino-welcome,no-fit,hotel,"Château de Raymontpierre, the Castle that Redefines Hospitality - Ticino Welcome",,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://ticinowelcome.ch/en/?p=82824,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel, hospitality; project trigger: renovation -> renovation; no-fit: Switzerland, out of market"
demand-radar-pilot-b-independent-houston-hotel-new-lifestyle-b-boutique-hotel-b-hotel-g-singapore-b-set-to-open-b-in-november-2016,no-fit,hotel,"New Lifestyle <b>Boutique Hotel</b>, Hotel G Singapore, <b>Set To Open</b> In November 2016",,,,opening,2016-01,2016,Demand Radar: Pilot B Independent Houston,https://www.curry-pot.com/business-small-business/new-lifestyle-boutique-hotel-hotel-g-singapore-set-to-open-in-november-2016/,2026-07-16,2026-07-17,,WATCH: re-check near buy-window 2016-01,"facility (hotel): hotel; project trigger: to open, set to open -> opening; completion: 2016; no-fit: Singapore AND stale 2016 article resurfaced by alert"
demand-radar-pilot-b-independent-texas-hotel-the-shepherd-mayfair-is-b-set-to-open-b-on-1-september-2026-tx,no-fit,hotel,The Shepherd Mayfair is <b>set to open</b> on 1 September 2026,,TX,,opening,2026-01,2026,Demand Radar: Pilot B Independent Texas,https://travellingforbusiness.co.uk/news/the-shepherd-mayfair-is-set-to-open-on-1-september-2026/,2026-07-16,2026-07-17,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hotel; project trigger: to open, opening, set to open -> opening; completion: 2026; no-fit: London UK; TX tag is feed-derived, not content; duplicate across feeds"
demand-radar-pilot-b-independent-texas-hotel-omni-amelia-island-resort-completes-40-million-b-renovation-b-rus-tourism-news-tx,no-fit,hotel,Omni Amelia Island Resort Completes $40 Million <b>Renovation</b> - Rus Tourism News,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.rustourismnews.com/2026/07/15/omni-amelia-island-resort-completes-40-million-renovation/,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel, resort, suites, extended stay; project trigger: renovation -> renovation; no-fit: Amelia Island FL, completed renovation; TX tag feed-derived; duplicate across feeds"
demand-radar-pilot-b-independent-texas-hotel-alpine-house-reopens-after-extensive-b-renovation-b-travel-daily-news-tx,no-fit,hotel,Alpine House reopens after extensive <b>renovation</b> - Travel Daily News,,TX,20 room,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.traveldailynews.com/hotels-lodging/alpine-house-reopens-after-extensive-renovation/,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; scale: 20 room; no-fit: non-regional, renovation complete; TX tag feed-derived; duplicate across feeds"
demand-radar-pilot-b-independent-texas-hotel-b-boutique-hotel-b-fine-dining-restaurant-pitched-for-downtown-lee-39-s-summit-see-plan-aol-tx,no-fit,hotel,"<b>Boutique hotel</b>, fine-dining restaurant pitched for downtown Lee&#39;s Summit. See plan - AOL",,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.aol.com/articles/boutique-hotel-fine-dining-restaurant-170815000.html,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; no-fit: Lee's Summit MO, out-of-region; pitch-stage only"
demand-radar-pilot-b-independent-texas-hotel-greenstar-hotels-elevates-sustainable-hospitality-with-canary-technologies-tx,no-fit,hotel,GreenStar Hotels elevates sustainable hospitality with Canary Technologies,,TX,,opening,2026-01,2026,Demand Radar: Pilot B Independent Texas,https://boutiquehotelnews.com/features/greenstar-hotels-canary/,2026-07-16,2026-07-17,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hospitality; project trigger: to open, set to open -> opening; completion: 2026; no-fit: vendor PR, not a demand signal; duplicate across feeds"
